r,s
86.7,-0.9115997229093581
86.80000000000001,-0.910425652799119
86.9,-0.9092480224424689
87.0,-0.908066818901905
87.10000000000001,-0.9068820292011787
87.2,-0.9056936403254024
87.30000000000001,-0.9045016392211584
87.4,-0.9033060127966154
87.5,-0.9021067479216459
87.60000000000001,-0.9009038314279519
87.7,-0.8996972501091935
87.80000000000001,-0.8984869907211223
87.9,-0.8972730399817204
88.0,-0.8960553845713439
88.10000000000001,-0.8948340111328719
88.2,-0.8936089062718605
88.30000000000001,-0.8923800565567015
88.4,-0.8911474485187876
88.5,-0.8899110686526817
88.60000000000001,-0.888670903416292
88.7,-0.8874269392310541
88.80000000000001,-0.8861791624821159
88.9,-0.8849275595185315
89.0,-0.8836721166534575
89.10000000000001,-0.8824128201643581
89.2,-0.8811496562932148
89.30000000000001,-0.8798826112467419
89.4,-0.8786116711966092
89.5,-0.8773368222796695
89.60000000000001,-0.8760580505981933
89.7,-0.874775342220111
89.80000000000001,-0.8734886831792585
89.9,-0.8721980594756332
90.0,-0.870903457075653
90.10000000000001,-0.8696048619124246
90.2,-0.8683022598860186
90.30000000000001,-0.8669956368637494
90.4,-0.8656849786804647
90.5,-0.8643702711388405
90.60000000000001,-0.8630515000096837
90.7,-0.8617286510322432
90.80000000000001,-0.8604017099145258
90.9,-0.8590706623336233
91.0,-0.8577354939360433
91.10000000000001,-0.8563961903380507
91.2,-0.8550527371260165
91.30000000000001,-0.8537051198567724
91.4,-0.852353324057977
91.5,-0.8509973352284871
91.60000000000001,-0.849637138838738
91.7,-0.8482727203311345
